crop,tissue,prep,region_group,voxel_nm,n_cells_considered,n_cells_included,total_ecs_surface_nm2,curvature_abs_median_per_nm,curvature_abs_p25_per_nm,curvature_abs_p75_per_nm,curvature_signed_median_per_nm,curvature_signed_p10_per_nm,curvature_signed_p90_per_nm,curvature_std_per_nm,curvature_iqr_per_nm,fraction_convex,fraction_concave,fraction_flat,roughness_rms_nm_p30,roughness_rms_nm_p60,roughness_rms_nm_p120,protrusion_density_per_um2,indentation_density_per_um2,protrusion_count,indentation_count,native_voxel_nm,analysis_voxel_nm
crop1035,Cortex,Chemical,,16.0,20,13,5221836.365120605,0.005340626257643735,0.0023239701182622067,0.010154586761588981,0.0030254877092653737,-0.0055740140359732526,0.016620541463501004,0.009930447874540732,0.007830616643326774,0.5507794547783902,0.23056274411509373,0.21865780110651603,1.7403578904345751,5.226242080119999,14.823821812517323,24.32094595079614,4.404580762742608,127,23,2.0,16.0
crop1034,Cortex,Chemical,,16.0,24,20,6227020.275563434,0.005542049293290098,0.0024625106419541272,0.010172563128698917,0.004662732599708403,-0.00315912380557444,0.016346489876766145,0.00912757723597171,0.00771005248674479,0.6552717575018048,0.13836021635077486,0.2063680261474204,1.8894806483643694,5.6542077283937475,16.828475413536157,26.97919591803465,0.802952259465317,168,5,2.0,16.0
crop1038,Liver,Chemical,Space of Disse,16.0,61,22,26416276.4312822,0.0059329781992191145,0.0027020683890722486,0.010620884342217045,0.003990109295672324,-0.005839343636177619,0.015461839167979172,0.010501846743704225,0.007918815953144797,0.6019176656975102,0.20921852540705546,0.18886380889543458,2.0308470359924145,5.853376556143,16.73684165163419,13.022274388097886,3.785544880261013,344,100,4.0,16.0
crop1032,Kidney,Chemical,PCT base,16.0,25,23,34068798.2137386,0.003845917645185395,0.0016585484266118064,0.007401575724270458,0.001610303426737344,-0.005213526348300314,0.011561557841559881,0.007713590084285182,0.0057430272976586524,0.4725672119088942,0.23370241393526622,0.29373037415583964,1.375400470719224,4.03067125276777,11.551190082397717,13.736909563521795,4.3147985167472305,468,147,4.0,16.0
crop1046,Cortex,Chemical,,16.0,17,12,6860048.680306273,0.0044539031364315244,0.0019022267389692392,0.009244524016432987,0.0027551098280428413,-0.004167589598012313,0.01635841362458323,0.010792366053883118,0.007342297277463748,0.5472746769846722,0.1915580154885167,0.26116730752681117,1.8044330010011345,5.124800539736228,14.418636983655345,19.096074401931414,1.8950302841611328,131,13,2.0,16.0
crop1030,Kidney,Chemical,DCT base,16.0,28,23,39949399.0936208,0.0036496926039181815,0.001562286749739757,0.006961179327952301,0.0012186609289424751,-0.005100403132051194,0.011335576948968919,0.008908827305601606,0.0053988925782125444,0.4453381539349852,0.24771382329758568,0.3069480227674292,1.4923951939207616,3.9972317124098757,11.143260839814985,12.365642818364268,3.5544965186391213,494,142,4.0,16.0
crop1037,Cortex,Chemical,,16.0,16,10,6348664.615074211,0.004562859640039832,0.002046421083601502,0.008478128166933278,0.0025150230375518908,-0.005109043957612986,0.014236505835628882,0.009520551718992038,0.0064317070833317756,0.5333857489303697,0.2226063100855046,0.2440079409841256,1.6069204289674361,4.584351137094948,12.981777830833897,18.114045546987168,3.3077822303193956,115,21,2.0,16.0
crop1045,Cortex,Chemical,,16.0,24,19,8357797.691257462,0.0047863375580886455,0.002081409137257554,0.009211649850471279,0.003142737010014526,-0.0043281050864975735,0.015179365520668483,0.008936772154252117,0.007130240713213725,0.5702698334646376,0.18844487386438605,0.24128529267097631,1.7405159538090416,5.010774910483132,14.40899111119269,24.288695120288068,2.0340286553935822,203,17,2.0,16.0
crop1027,Kidney,Chemical,Glomerular,16.0,27,21,42188229.02747306,0.004801568945260749,0.0021897508375454972,0.00861394211598631,0.0026646177857330765,-0.005840285672364464,0.01224253838652146,0.008745695313632654,0.006424191278440813,0.5418080456250199,0.22838880035023518,0.2298031540247451,1.646499582800805,4.680572914038869,13.556009305590907,13.463471046156434,5.333241171452813,568,225,4.0,16.0
crop1026,Kidney,Chemical,Glomerular,16.0,48,31,40000217.313670255,0.005060599122127258,0.002319237218298113,0.009048954967015884,0.003029080654727088,-0.0059055282945227145,0.012842931189199065,0.008785612081793107,0.006729717748717771,0.5617832717455589,0.22056485013231708,0.21765187812212428,1.7703953357357791,5.050770910958857,14.853668286455076,13.849924755550465,4.724974329962162,554,189,4.0,16.0
