metric,column,label,tissue,prep,n,mean,median
sa_v,sa_v_ecs_per_nm,SA:V /nm,Kidney,Chemical,7,0.020912220671563123,0.01697291282570416
sa_v,sa_v_ecs_per_nm,SA:V /nm,Kidney,Rapid HPF,6,0.011991428307192076,0.011912851898692638
sa_v,sa_v_ecs_per_nm,SA:V /nm,Liver,Chemical,12,0.008341538520182263,0.007570719886272417
sa_v,sa_v_ecs_per_nm,SA:V /nm,Liver,Rapid HPF,10,0.0038791484711954895,0.0027041494005396473
sa_v,cell_density_per_um3,cells/um3,Cortex,Chemical,7,20.121279761904763,18.75
sa_v,cell_density_per_um3,cells/um3,Cortex,Rapid HPF,2,6.17607272401148,6.17607272401148
sa_v,cell_density_per_um3,cells/um3,Heart,Chemical,4,0.732421875,0.732421875
sa_v,cell_density_per_um3,cells/um3,Heart,Rapid HPF,4,2.5065104166666665,2.3193359375
sa_v,cell_density_per_um3,cells/um3,Kidney,Chemical,7,12.739206018914079,4.340277777777778
sa_v,cell_density_per_um3,cells/um3,Kidney,Rapid HPF,6,2.1624023728283404,1.6085047300170068
sa_v,cell_density_per_um3,cells/um3,Liver,Chemical,12,2.0380575190145502,1.708984375
sa_v,cell_density_per_um3,cells/um3,Liver,Rapid HPF,10,1.1430948247354498,0.7269965277777778
topology,fraction_convex,frac convex,Cortex,Chemical,7,0.3862971789373405,0.3664310389473267
topology,fraction_convex,frac convex,Cortex,Rapid HPF,2,0.5286385773901867,0.5286385773901867
topology,fraction_convex,frac convex,Heart,Chemical,4,0.3496358118754814,0.34885620897087416
topology,fraction_convex,frac convex,Heart,Rapid HPF,4,0.4459218708098169,0.4509685261258092
topology,fraction_convex,frac convex,Kidney,Chemical,7,0.5346909551454573,0.49769305509649653
topology,fraction_convex,frac convex,Kidney,Rapid HPF,6,0.4648312381678518,0.4641794645141304
topology,fraction_convex,frac convex,Liver,Chemical,12,0.43329553206356547,0.46915385127132336
topology,fraction_convex,frac convex,Liver,Rapid HPF,10,0.40311261724799824,0.3841631108767118
topology,fraction_concave,frac concave,Cortex,Chemical,7,0.21602091781194308,0.21777826107509513
topology,fraction_concave,frac concave,Cortex,Rapid HPF,2,0.15513169627279594,0.15513169627279594
topology,fraction_concave,frac concave,Heart,Chemical,4,0.26319269227052666,0.23869136196071064
topology,fraction_concave,frac concave,Heart,Rapid HPF,4,0.25264794932518747,0.252844876183303
topology,fraction_concave,frac concave,Kidney,Chemical,7,0.15477958679811718,0.21070744275435946
topology,fraction_concave,frac concave,Kidney,Rapid HPF,6,0.24298614907305066,0.242229021971064
topology,fraction_concave,frac concave,Liver,Chemical,12,0.24783589390259694,0.2366732565369262
topology,fraction_concave,frac concave,Liver,Rapid HPF,10,0.22405665349940707,0.22712194360285665
topology,fraction_flat,frac flat,Cortex,Chemical,7,0.3976819032507164,0.39508595496117144
topology,fraction_flat,frac flat,Cortex,Rapid HPF,2,0.3162297263370175,0.3162297263370175
topology,fraction_flat,frac flat,Heart,Chemical,4,0.387171495853992,0.39870644567733415
topology,fraction_flat,frac flat,Heart,Rapid HPF,4,0.3014301798649956,0.3066737620391034
topology,fraction_flat,frac flat,Kidney,Chemical,7,0.3105294580564259,0.29159950214914526
topology,fraction_flat,frac flat,Kidney,Rapid HPF,6,0.2921826127590977,0.2665094279761042
topology,fraction_flat,frac flat,Liver,Chemical,12,0.3188685740338375,0.26832158255841054
topology,fraction_flat,frac flat,Liver,Rapid HPF,10,0.37283072925259464,0.3787094064282266
topology,curvature_std_per_nm,|H| std /nm,Cortex,Chemical,7,0.004667969865883658,0.004684066134774579
topology,curvature_std_per_nm,|H| std /nm,Cortex,Rapid HPF,2,0.006748403505661667,0.006748403505661667
topology,curvature_std_per_nm,|H| std /nm,Heart,Chemical,4,0.009346431143957211,0.008938649454767286
topology,curvature_std_per_nm,|H| std /nm,Heart,Rapid HPF,4,0.008204412123867357,0.008092369024692679
topology,curvature_std_per_nm,|H| std /nm,Kidney,Chemical,7,0.0056768292778299175,0.005205525654885059
topology,curvature_std_per_nm,|H| std /nm,Kidney,Rapid HPF,6,0.01013339211623473,0.009384667999463834
topology,curvature_std_per_nm,|H| std /nm,Liver,Chemical,12,0.009797031395924336,0.009138826491888605
topology,curvature_std_per_nm,|H| std /nm,Liver,Rapid HPF,10,0.008261006640763678,0.007332856887902346
topology,roughness_rms_nm_p30,rough 30nm,Cortex,Chemical,7,0.7981209988874186,0.7886795683809612
topology,roughness_rms_nm_p30,rough 30nm,Cortex,Rapid HPF,2,1.2316726589216964,1.2316726589216964
topology,roughness_rms_nm_p30,rough 30nm,Heart,Chemical,4,1.4237158155647014,1.3847593836236651
topology,roughness_rms_nm_p30,rough 30nm,Heart,Rapid HPF,4,1.3351011231576035,1.3414060679596187
topology,roughness_rms_nm_p30,rough 30nm,Kidney,Chemical,7,1.1279581855002088,1.1434380793456105
topology,roughness_rms_nm_p30,rough 30nm,Kidney,Rapid HPF,6,1.3479394971147571,1.40248225144374
topology,roughness_rms_nm_p30,rough 30nm,Liver,Chemical,12,1.2835373027376447,1.295430512276445
topology,roughness_rms_nm_p30,rough 30nm,Liver,Rapid HPF,10,1.187488798246635,1.1141025276617191
topology,roughness_rms_nm_p60,rough 60nm,Cortex,Chemical,7,2.9392679635690966,2.8221529111297072
topology,roughness_rms_nm_p60,rough 60nm,Cortex,Rapid HPF,2,4.073516227283365,4.073516227283365
topology,roughness_rms_nm_p60,rough 60nm,Heart,Chemical,4,4.204573883080283,4.250413302230477
topology,roughness_rms_nm_p60,rough 60nm,Heart,Rapid HPF,4,4.376120358778589,4.41814974822907
