crop,tissue,prep,region_group,voxel_nm,n_boundary_faces,gap_min_nm,gap_mean_nm,gap_std_nm,percentiles_nm_p10,percentiles_nm_p25,percentiles_nm_p50,percentiles_nm_p75,percentiles_nm_p90,contact_fractions_p20,contact_fractions_p40,contact_fractions_p80,contact_fractions_p160,contact_fractions_p320,native_voxel_nm,analysis_voxel_nm
crop1035,Cortex,Chemical,,8.0,49963,24.0,28.30964389124158,8.736386549742546,24.0,24.0,24.0,27.31370849898476,39.74495028054933,0.0,0.910313632087745,0.9981786522026299,1.0,1.0,2.0,8.0
crop1042,Liver,Chemical,Bile canaliculus,8.0,190048,24.0,91.40857293680078,67.2053880036463,33.17011495953578,43.59591794226542,57.29822128134704,131.3907384742605,197.3133456767161,0.0,0.20029150530392323,0.6084831200538812,0.8240181427849806,0.9990739181680418,4.0,8.0
crop1041,Liver,Chemical,Space of Disse,8.0,186609,24.0,101.6388963459376,66.56853230825435,39.74495028054933,56.0,84.66060555964671,127.18642930896227,188.662310815379,0.0,0.1081887797480293,0.46585641635719605,0.8448252763800246,0.9891752273470197,4.0,8.0
crop1039,Liver,Chemical,Bile canaliculus,8.0,196512,24.0,150.68657933989195,185.73826106905668,24.0,30.627416997969522,54.62741699796952,203.61014579826522,439.5510202598659,0.0,0.39824031102426316,0.5839643380556913,0.7047101449275363,0.8386205422569614,4.0,8.0
crop1033,Cortex,Chemical,,8.0,50081,24.0,27.899490214343295,5.9160822948161815,24.0,24.0,24.0,30.627416997969522,35.712812921102035,0.0,0.9468860446077355,1.0,1.0,1.0,2.0,8.0
crop1040,Liver,Chemical,Bile canaliculus,8.0,181147,24.0,102.85074173996468,90.70506062373195,24.0,32.0,58.5329983228432,158.79086241436883,245.8473589012499,0.0,0.3517529961854185,0.5793250785273838,0.7527367276300463,0.9773388463513059,4.0,8.0
crop1043,Liver,Chemical,Space of Disse,8.0,370067,24.0,77.57017759917787,53.72239128224946,24.0,37.20225231898308,61.0659966456864,101.28513943710115,154.18894796396563,0.0,0.2843647231447278,0.6367198372186658,0.90947314945672,0.9974815371270608,4.0,8.0
crop1030,Kidney,Chemical,DCT base,8.0,412937,24.0,70.5613546777867,52.51827897725121,24.0,24.0,33.17011495953578,121.13708498984761,147.43642627390182,0.0,0.526738945650305,0.5968779741219605,0.9509561991296493,1.0,4.0,8.0
crop1044,Liver,Chemical,Hepatocyte lateral,8.0,127510,24.0,137.4768880853745,89.16920782879828,39.74495028054933,63.377408526555115,115.79353639438659,197.97872099576585,268.18913635481636,0.0,0.10971688495019999,0.34153399733354245,0.6446866912399027,0.9653987922515881,4.0,8.0
crop1125,Liver,Rapid HPF,Hepatocyte lateral,8.0,147437,24.0,34.34859903881794,21.126609541784042,24.0,27.31370849898476,27.31370849898476,30.627416997969522,53.254833995939045,0.0,0.8600961766720701,0.9436437257947462,0.9990843546735215,1.0,8.0,8.0
