metric,column,label,region_group,chem_n,chem_mean,chem_median,hpf_n,hpf_mean,hpf_median
topology,roughness_rms_nm_p120,rough 120nm,Intercalated disc,2,10.155381850466608,10.155381850466608,2,11.3162832407518,11.3162832407518
topology,roughness_rms_nm_p120,rough 120nm,PCT lateral,1,5.991657879807403,5.991657879807403,1,15.690581397372961,15.690581397372961
topology,protrusion_density_per_um2,prot/um2,Bile canaliculus,3,12.424592455772919,12.316211539113612,4,12.43229954853836,12.694270424782436
topology,protrusion_density_per_um2,prot/um2,Cardiac interstitial,2,11.162096913743099,11.162096913743099,2,15.517652488549492,15.517652488549492
topology,protrusion_density_per_um2,prot/um2,DCT base,1,12.06326523610298,12.06326523610298,3,11.007977259095847,9.630709726009925
topology,protrusion_density_per_um2,prot/um2,Glomerular,2,13.425795086390096,13.425795086390096,2,13.585375530352621,13.585375530352621
topology,protrusion_density_per_um2,prot/um2,Hepatocyte lateral,6,11.746670547121093,11.685301690841005,6,9.897529308276878,9.365774889382406
topology,protrusion_density_per_um2,prot/um2,Intercalated disc,2,10.254851270047741,10.254851270047741,2,9.511060234119652,9.511060234119652
topology,protrusion_density_per_um2,prot/um2,PCT lateral,1,7.7695413632809505,7.7695413632809505,1,9.562693470849656,9.562693470849656
topology,indentation_density_per_um2,ind/um2,Bile canaliculus,3,6.338726916716917,6.867409213871647,4,4.804857736420731,4.677141844667574
topology,indentation_density_per_um2,ind/um2,Cardiac interstitial,2,7.614654134733172,7.614654134733172,2,4.709794637125896,4.709794637125896
topology,indentation_density_per_um2,ind/um2,DCT base,1,3.091211716751389,3.091211716751389,3,4.667299000713271,4.779492157792591
topology,indentation_density_per_um2,ind/um2,Glomerular,2,5.116480519966776,5.116480519966776,2,4.148021658403308,4.148021658403308
topology,indentation_density_per_um2,ind/um2,Hepatocyte lateral,6,4.74282227095127,5.672991448998649,6,3.115040710768785,2.92050881181905
topology,indentation_density_per_um2,ind/um2,Intercalated disc,2,5.3345838443180265,5.3345838443180265,2,5.007645076360237,5.007645076360237
topology,indentation_density_per_um2,ind/um2,PCT lateral,1,3.2325829029709063,3.2325829029709063,1,6.72094965639905,6.72094965639905
