crop,tissue,prep,region_group,anatomy,native_voxel_nm,analysis_voxel_nm,run,metric_family,metric,value
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_volume_um3,0.539899392
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_volume_um3,13.284100608
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,total_volume_um3,13.824
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,total_voxels,28000000.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_voxels,542839.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_primary_voxels,542839.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_voxels,27457161.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_fraction,0.019387107142857143
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_fraction,0.9806128928571428
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_volume_um3,0.277933568
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_volume_um3,14.058066432
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,total_volume_um3,14.336
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,total_voxels,40000000.0
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,ecs_voxels,843338.0
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,ecs_primary_voxels,843338.0
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,cell_voxels,39156662.0
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,ecs_fraction,0.02108345
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,cell_fraction,0.97891655
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,ecs_volume_um3,0.431789056
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,cell_volume_um3,20.048210944
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,8.0,8.0,native,volume_fraction,total_volume_um3,20.48
crop1137,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,total_voxels,9000000.0
crop1137,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_voxels,1325656.0
crop1137,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_primary_voxels,1325656.0
crop1137,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1137,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,cell_voxels,7674344.0
crop1137,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_fraction,0.1472951111111111
crop1137,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,cell_fraction,0.8527048888888888
crop1137,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_volume_um3,0.678735872
crop1137,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,cell_volume_um3,3.929264128
crop1137,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,total_volume_um3,4.608
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,total_voxels,27000000.0
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_voxels,1217817.0
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_primary_voxels,1217817.0
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_voxels,25782183.0
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_fraction,0.04510433333333334
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_fraction,0.9548956666666667
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_volume_um3,0.623522304
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_volume_um3,13.200477696
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,total_volume_um3,13.824
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,total_voxels,27000000.0
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_voxels,2742593.0
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_primary_voxels,2742593.0
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_voxels,24257407.0
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_fraction,0.10157751851851853
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_fraction,0.8984224814814815
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_volume_um3,1.404207616
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_volume_um3,12.419792384
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,total_volume_um3,13.824
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,total_voxels,27000000.0
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_voxels,3855452.0
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_primary_voxels,3855452.0
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_voxels,23144548.0
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_fraction,0.14279451851851852
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_fraction,0.8572054814814815
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,ecs_volume_um3,1.973991424
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,cell_volume_um3,11.850008576
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,8.0,8.0,native,volume_fraction,total_volume_um3,13.824
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,8.0,8.0,native,volume_fraction,total_voxels,24500000.0
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,8.0,8.0,native,volume_fraction,ecs_voxels,15864004.0
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,8.0,8.0,native,volume_fraction,ecs_primary_voxels,15864004.0
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,8.0,8.0,native,volume_fraction,cell_voxels,8635996.0
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,8.0,8.0,native,volume_fraction,ecs_fraction,0.6475103673469388
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,8.0,8.0,native,volume_fraction,cell_fraction,0.3524896326530612
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,8.0,8.0,native,volume_fraction,ecs_volume_um3,8.122370048
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,8.0,8.0,native,volume_fraction,cell_volume_um3,4.421629952
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,8.0,8.0,native,volume_fraction,total_volume_um3,12.544
crop1136,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,total_voxels,26400000.0
crop1136,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_voxels,2373161.0
crop1136,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_primary_voxels,2373161.0
crop1136,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1136,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,cell_voxels,24026839.0
crop1136,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_fraction,0.08989246212121212
crop1136,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,cell_fraction,0.9101075378787878
crop1136,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_volume_um3,1.215058432
crop1136,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,cell_volume_um3,12.301741568
crop1136,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,total_volume_um3,13.5168
