crop,tissue,prep,region_group,anatomy,voxel_nm,patch_faces,ecs_frac,gap_bounded_frac,n_curvature_kept,n_deviation_kept,n_gap_kept,curvature_p10_nm-1,curvature_p50_nm-1,curvature_p90_nm-1,abs_curvature_p50_nm-1,abs_curvature_p90_nm-1,frac_convex,frac_concave,deviation_p10_nm,deviation_p50_nm,deviation_p90_nm,abs_deviation_p50_nm,abs_deviation_p90_nm,frac_protrusion,frac_indent,gap_p10_nm,gap_p50_nm,gap_p90_nm
crop1142,Cortex,Rapid HPF,,Unmyelinated nerve fibers,16.0,61341,0.1248,0.01,28747,28747,30903,-0.0029728191439062357,0.0010249698534607887,0.005186563357710838,0.0021272378508001566,0.005822926294058561,0.6388840574668662,0.3611159425331339,-1.540557622909546,0.8243159055709839,3.1986827850341797,1.3686046600341797,3.451667547225952,0.6741920896093505,0.32580791039064944,16.0,22.627416610717773,45.25483322143555
crop1143,Cortex,Rapid HPF,,Unmyelinated nerve fibers,16.0,47939,0.1815,0.014,23243,23243,24011,-0.0035530822351574898,0.0023050541058182716,0.010937442071735859,0.003635546425357461,0.011811058036983013,0.690659553413931,0.3093404465860689,-2.0688064098358154,1.8953578472137451,7.079455375671387,2.5896952152252197,7.3851752281188965,0.7231854751968334,0.27681452480316654,22.627416610717773,27.712812423706055,64.0
crop1145,Heart,Chemical,Cardiac interstitial,Interstitial,16.0,64771,0.3149,0.329,31322,31322,22118,-0.008593122474849224,0.0011267485097050667,0.007427581585943699,0.0028850636444985867,0.013379639014601707,0.6229167996935061,0.37708320030649384,-4.1940016746521,0.7557024359703064,3.8650059700012207,1.6845929622650146,6.582776069641113,0.6422961496711577,0.35770385032884233,59.866519927978516,91.91300201416016,270.5845642089844
crop1146,Heart,Chemical,Cardiac interstitial,Interstitial,16.0,44936,0.2012,0.193,21588,21588,18441,-0.0241145770996809,0.0025627603754401207,0.012071996927261353,0.006841233931481838,0.025878727436065674,0.6373448211969612,0.3626551788030387,-9.641887664794922,1.573068618774414,5.449031829833984,3.4021174907684326,9.882344245910645,0.6569390402075227,0.3430609597924773,35.7770881652832,90.5096664428711,209.22714233398438
crop1147,Heart,Chemical,Intercalated disc,Intercalated disc,16.0,62354,0.1121,0.085,30101,30101,28928,-0.004455051384866238,9.61606656346703e-06,0.005195944104343653,0.002115852665156126,0.007345300167798996,0.5008139264476263,0.49918607355237365,-2.723869800567627,0.08004633337259293,3.2844033241271973,1.3936803340911865,4.559401988983154,0.5145344008504701,0.4854655991495299,16.0,22.627416610717773,144.0
crop1148,Heart,Chemical,Intercalated disc,Intercalated disc,16.0,141304,0.0908,0.058,67640,67640,67523,-0.00630924804136157,4.902324144495651e-05,0.007346069905906916,0.002987324260175228,0.010063276626169682,0.5039621525724424,0.49603784742755763,-3.9232475757598877,0.03062199428677559,4.74588680267334,1.9380028247833252,5.986184597015381,0.5050857480780603,0.49491425192193966,39.191837310791016,48.0,69.74238586425781
crop1149,Heart,Rapid HPF,Cardiac interstitial,Interstitial,16.0,60829,0.2126,0.183,29120,29120,25330,-0.007814580574631691,0.0009901716839522123,0.007440038025379181,0.003316768677905202,0.011273602955043316,0.5941277472527473,0.40587225274725275,-4.362054347991943,0.6317055225372314,4.568158149719238,1.9597724676132202,6.352906227111816,0.5941277472527473,0.40587225274725275,35.7770881652832,94.65727996826172,167.04490661621094
crop1150,Heart,Rapid HPF,Cardiac interstitial,Interstitial,16.0,101052,0.3839,0.186,48395,48395,41808,-0.005922041833400726,0.000639550678897649,0.008144322782754898,0.0027917083352804184,0.010848231613636017,0.5757619588800496,0.4242380411199504,-3.5130608081817627,0.4846637547016144,5.596170902252197,1.6749337911605835,6.735005855560303,0.594854840376072,0.4051451596239281,35.7770881652832,81.58431243896484,217.62353515625
crop1151,Heart,Rapid HPF,Intercalated disc,Intercalated disc,16.0,138389,0.0452,0.008,66174,66174,69503,-0.007323243655264378,-0.00031005783239379525,0.006418102420866489,0.0029882355593144894,0.010213603265583515,0.47013932964608457,0.5298606703539155,-4.248728275299072,-0.19351056218147278,3.8555428981781006,1.864441156387329,5.712021350860596,0.47097047178650225,0.5290295282134978,22.627416610717773,32.0,35.7770881652832
crop1152,Heart,Rapid HPF,Intercalated disc,Intercalated disc,16.0,82682,0.2,0.521,39663,39663,20075,-0.00969014409929514,0.00011508385796332732,0.009716084226965904,0.0038962974213063717,0.014386552385985851,0.5101479968736606,0.4898520031263394,-5.66098165512085,0.10999754816293716,5.96060037612915,2.575880527496338,7.544235706329346,0.5149383556463203,0.48506164435367977,27.712812423706055,189.31455993652344,314.3501281738281
crop1026,Kidney,Chemical,Glomerular,Glomerular interstitium,16.0,162776,0.355,0.183,79037,79037,67362,-0.0066943056881427765,0.0013353232061490417,0.007822218351066113,0.0037513072602450848,0.010182795114815235,0.6037805078634058,0.39621949213659424,-4.139298915863037,1.0261777639389038,5.074738502502441,2.541949510574341,6.163601398468018,0.6169262497311386,0.3830737502688614,45.25483322143555,101.19288635253906,263.8787536621094
crop1027,Kidney,Chemical,Glomerular,Glomerular interstitium,16.0,129021,0.4451,0.224,62293,62293,50630,-0.004946982953697443,0.0018208780093118548,0.008562043309211731,0.0036208098754286766,0.009766689501702785,0.6466376639429792,0.35336233605702083,-3.090468406677246,1.4043216705322266,5.380181789398193,2.46026349067688,5.909979343414307,0.663284799255133,0.336715200744867,32.0,73.32121276855469,167.80941772460938
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,16.0,10394,0.5964,0.283,4956,4956,3842,-0.0013719031121581793,0.0027504130266606808,0.0069860732182860374,0.003075462533161044,0.007164085749536753,0.8206214689265536,0.17937853107344634,-0.16571402549743652,2.2307143211364746,4.359759330749512,2.3047945499420166,4.505797386169434,0.8837772397094431,0.1162227602905569,16.0,35.7770881652832,147.51271057128906
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,16.0,10170,0.7455,0.013,5041,5041,5052,0.0012826945167034864,0.004497561138123274,0.0087449811398983,0.004506281577050686,0.0087449811398983,0.9621106923229518,0.037889307677048206,1.7416930198669434,3.3697431087493896,5.446627140045166,3.3697431087493896,5.446627140045166,0.9906764530847054,0.009323546915294585,22.627416610717773,48.0,218.21090698242188
crop1030,Kidney,Chemical,DCT base,DCT base,16.0,61003,0.1945,0.067,29084,29084,29007,-0.004341571591794491,-0.00010233084321953356,0.004428264684975147,0.0020876696798950434,0.006267197895795107,0.4863842662632375,0.5136157337367625,-2.545400619506836,-0.12287789583206177,2.348904848098755,1.1993191242218018,3.2147741317749023,0.46850501994223626,0.5314949800577637,16.0,22.627416610717773,39.191837310791016
crop1031,Kidney,Chemical,PCT lateral,PCT lateral,16.0,97903,0.0143,0.303,48014,48014,34762,-0.0039177038706839085,-0.00025552944862283766,0.002892803866416216,0.001630381215363741,0.004748285748064518,0.4413087849377265,0.5577539884200442,-1.851580023765564,-0.11109685897827148,1.4685484170913696,0.783126950263977,2.3097121715545654,0.45788728287582786,0.5421127171241721,16.0,22.627416610717773,45.25483322143555
crop1032,Kidney,Chemical,PCT base,PCT base,16.0,55646,0.3021,0.149,26395,26395,24089,-0.005639765411615372,0.0012280191294848919,0.0064720879308879375,0.0030551692470908165,0.008594734594225883,0.6218980867588558,0.37810191324114417,-3.1791160106658936,0.8165186643600464,3.5505712032318115,1.8222898244857788,4.459906578063965,0.6266717181284334,0.3733282818715666,16.0,65.96968841552734,130.96563720703125
