metric,column,label,group_type,group_value,n_chem,n_hpf,chem_median,chem_ci_lo,chem_ci_hi,hpf_median,hpf_ci_lo,hpf_ci_hi,diff_median,diff_ci_lo,diff_ci_hi,mw_u,mw_p,cliff_delta,direction
ecs_width,narrow_percentiles_nm_p25,width p25 nm,tissue,Cortex,7,3,2.8284271247461903,2.0,4.0,8.0,8.0,24.0,-5.17157287525381,-22.0,-4.0,2.0,0.0649095140443013,-0.8095238095238095,HPF>Chem
ecs_width,narrow_percentiles_nm_p25,width p25 nm,tissue,Kidney,7,4,14.422205101855956,8.0,16.0,8.0,8.0,25.298221281347036,6.4222051018559565,-10.87601617949108,8.0,16.5,0.6974874133044886,0.17857142857142858,Chem>HPF
ecs_width,narrow_percentiles_nm_p25,width p25 nm,tissue,Liver,7,10,12.0,9.797958971132712,16.492422502470642,8.0,8.0,13.65685424949238,4.0,-1.5157495278520496,8.492422502470642,54.0,0.06446061080263715,0.5428571428571428,Chem>HPF
ecs_width,narrow_percentiles_nm_p25,width p25 nm,region_group,Bile canaliculus,3,4,9.797958971132712,8.94427190999916,12.0,13.65685424949238,8.0,16.0,-3.858895278359668,-7.055728090000841,2.3431457505076203,4.0,0.5925602769166511,-0.3333333333333333,HPF>Chem
ecs_width,narrow_percentiles_nm_p25,width p25 nm,region_group,DCT base,2,3,11.21110255092798,8.0,14.422205101855956,8.0,8.0,8.0,3.211102550927979,0.0,6.4222051018559565,4.5,0.4142161782425251,0.5,Chem>HPF
ecs_width,narrow_percentiles_nm_p50,width p50 nm,tissue,Cortex,7,3,6.0,4.0,9.16515138991168,11.313708498984761,11.313708498984761,68.35202996254024,-5.313708498984761,-64.35202996254024,-2.1485571090730815,2.0,0.0674116194841113,-0.8095238095238095,HPF>Chem
ecs_width,narrow_percentiles_nm_p50,width p50 nm,tissue,Kidney,7,4,39.395431207184416,23.664319132398465,53.81449618829484,12.58505747976789,11.313708498984761,51.22499389946279,26.810373727416525,-11.829562692278373,42.50078768931008,20.0,0.2975170913642372,0.42857142857142855,Chem>HPF
ecs_width,narrow_percentiles_nm_p50,width p50 nm,tissue,Liver,7,10,32.49615361854384,21.908902300206645,36.0,13.65685424949238,9.65685424949238,28.97056274847714,18.839299369051464,-0.4048490343057374,24.68629150101524,56.0,0.044775997706310036,0.6,Chem>HPF
ecs_width,narrow_percentiles_nm_p50,width p50 nm,region_group,Bile canaliculus,3,4,32.49615361854384,18.33030277982336,36.0,28.97056274847714,16.0,39.191835884530846,3.5255908700667042,-18.236177910919206,16.496153618543843,6.0,1.0,0.0,approx
ecs_width,narrow_percentiles_nm_p50,width p50 nm,region_group,DCT base,2,3,32.52032043177643,23.664319132398465,41.376321731154405,11.313708498984761,11.313708498984761,13.856406460551018,21.206611932791674,9.807912671847447,30.062613232169646,6.0,0.1386406338132186,1.0,Chem>HPF
ecs_width,narrow_percentiles_nm_p75,width p75 nm,tissue,Cortex,7,3,10.198039027185569,6.6332495807108,37.36308338453881,25.298221281347036,17.88854381999832,133.8656042454521,-15.100182254161467,-127.2323546647413,19.474539564540493,4.0,0.18333333333333335,-0.6190476190476191,HPF>Chem
ecs_width,narrow_percentiles_nm_p75,width p75 nm,tissue,Kidney,7,4,68.58571279792899,44.0,119.19731540601072,18.74223088113187,17.88854381999832,87.63560920082658,49.84348191679712,-19.049896402897588,101.3087715860124,20.0,0.2975170913642372,0.42857142857142855,Chem>HPF
ecs_width,narrow_percentiles_nm_p75,width p75 nm,tissue,Liver,7,10,65.72670690061993,42.708313008125245,81.68231142664855,24.64911064067352,16.0,51.22499389946279,41.07759625994641,2.708313008125245,61.68231142664855,58.0,0.02801174482879928,0.6571428571428571,Chem>HPF
ecs_width,narrow_percentiles_nm_p75,width p75 nm,region_group,Bile canaliculus,3,4,70.9929573971954,42.708313008125245,93.72299611087985,54.17601498127012,25.298221281347036,93.29523031752481,16.816942415925276,-38.115317131907275,61.07388547020633,9.0,0.4,0.5,Chem>HPF
ecs_width,narrow_percentiles_nm_p75,width p75 nm,region_group,DCT base,2,3,60.2099463490856,44.0,76.4198926981712,17.88854381999832,17.88854381999832,19.595917942265423,42.32140252908728,24.404082057734577,58.53134887817288,6.0,0.1386406338132186,1.0,Chem>HPF
ecs_width,narrow_fraction,frac <200nm,tissue,Cortex,7,3,1.0,0.9995239853942359,1.0,1.0,0.4333362121034941,1.0,0.0,-0.0004760146057640746,0.566663787896506,11.0,1.0,0.047619047619047616,approx
ecs_width,narrow_fraction,frac <200nm,tissue,Kidney,7,4,0.9995222211164213,0.8261494524549606,1.0,1.0,0.6551719225486832,1.0,-0.00047777888357869447,-0.17385054754503937,0.34435029856773813,9.0,0.37243147834016666,-0.35714285714285715,HPF>Chem
ecs_width,narrow_fraction,frac <200nm,tissue,Liver,7,10,0.9955036148365574,0.8870116647147573,0.9995978999101697,1.0,0.9946198934514862,1.0,-0.00449638516344264,-0.11298833528524266,0.0015990341986580336,14.5,0.03932708865304256,-0.5857142857142857,HPF>Chem
ecs_width,narrow_fraction,frac <200nm,region_group,Bile canaliculus,3,4,0.9955036148365574,0.8584999700691532,1.0,0.998400965801342,0.9701474690905243,1.0,-0.0028973509647846063,-0.14150002993084676,0.025356145746033065,4.0,0.5820796519295022,-0.3333333333333333,HPF>Chem
ecs_width,narrow_fraction,frac <200nm,region_group,DCT base,2,3,0.9998794354549723,0.9997588709099444,1.0,1.0,1.0,1.0,-0.00012056454502773484,-0.0002411290900555807,0.0,1.5,0.4142161782425251,-0.5,HPF>Chem
