crop,tissue,prep,region_group,voxel_nm,n_cells_considered,n_cells_included,total_ecs_surface_nm2,curvature_abs_median_per_nm,curvature_abs_p25_per_nm,curvature_abs_p75_per_nm,curvature_signed_median_per_nm,curvature_signed_p10_per_nm,curvature_signed_p90_per_nm,curvature_std_per_nm,curvature_iqr_per_nm,fraction_convex,fraction_concave,fraction_flat,roughness_rms_nm_p30,roughness_rms_nm_p60,roughness_rms_nm_p120,protrusion_density_per_um2,indentation_density_per_um2,protrusion_count,indentation_count
crop1044,Liver,Chemical,Hepatocyte lateral,4.0,41,4,10527022.155487645,0.005019581974109477,0.0023605992243875148,0.008620981146980499,0.0020998940018377836,-0.00792819677883426,0.010596868308462454,0.012597957033859679,0.0062603819225929835,0.5057648622111858,0.2808259884308289,0.21340914935798527,1.369473124493634,4.5400661505020885,13.73165222093001,14.629018323070703,6.934534659637412,154,73
crop1071,Liver,Rapid HPF,Hepatocyte lateral,8.0,108,87,86568476.58570372,0.004867622227762956,0.002211237824780561,0.008871739576948375,0.003054076225076918,-0.005364991295043043,0.012342516885664945,0.009686080311475734,0.006660501752167813,0.56760201365042,0.20496355260383506,0.2274344337457447,1.5317668894987315,5.057544030631897,14.998231716915157,12.487224479800085,3.8466658203269457,1081,333
crop1072,Liver,Rapid HPF,Bile canaliculus,8.0,20,4,13577428.402584119,0.0040658940720775805,0.0013680768178250344,0.011323663294515337,0.001029994366645308,-0.0074712462534986925,0.01537092584140749,0.012372307677779807,0.009955586476690302,0.42919287745923834,0.23199993872829522,0.3388071838124663,1.6499453772984665,5.115604585144012,13.56650981550055,12.226173843671761,4.713705578283088,166,64
crop1073,Liver,Rapid HPF,Bile canaliculus,8.0,32,16,36027551.42472464,0.0037586011375671164,0.0015532320150051994,0.00838097183941374,0.0014226439120868966,-0.005181855331837457,0.012629456690830012,0.011567863591935422,0.006827739824408542,0.4580868137391087,0.22998168935595503,0.3119314969049368,1.4210219209042616,4.595843267017823,13.193797286227145,10.686266059585328,4.524315240811451,385,163
crop1074,Liver,Rapid HPF,Bile canaliculus,8.0,44,21,23703943.208718464,0.006181994521531078,0.0022289459350053856,0.011748052601669664,0.0030746992963313546,-0.007510426051268503,0.015177360662222195,0.013468990202387747,0.009519106666664279,0.5488625677325558,0.22207922093357674,0.22905821133386717,1.8212219861048773,5.738678270878568,15.996318715336562,13.162367005893111,4.640578111052059,312,110
crop1075,Liver,Rapid HPF,Bile canaliculus,8.0,55,29,19847094.926717244,0.0048963592409910755,0.001851642886018948,0.011243974933507,0.002143499386361672,-0.005877828714826463,0.01512507985028018,0.011941549998369655,0.009392332047488051,0.5084877065161436,0.2242621978497583,0.2672500956340982,1.7521787109694096,5.515381191393411,15.209428103610694,13.654391285003243,5.340832015536324,271,106
crop1123,Liver,Rapid HPF,Hepatocyte lateral,8.0,3,2,5656620.5620381925,0.0023525629376739544,0.0010515253087711503,0.004307625343309536,0.00040498843970353384,-0.004160476126967426,0.005733628802189619,0.004936467766311588,0.0032561000345383857,0.3228213531601338,0.23762634978960662,0.43955229705025944,0.7288260513067114,2.2063813303241853,5.895082503603333,9.192767913226156,1.59105598498145,52,9
crop1124,Liver,Rapid HPF,Hepatocyte lateral,8.0,10,5,20439132.2018798,0.0019223985342364056,0.0008720435296046471,0.003563771141862835,0.00023056548866907516,-0.0035737415415279163,0.004697362899183675,0.0044352702156715005,0.0026917276122581883,0.27267269896059426,0.21191503213034135,0.5154122689090642,0.7224379880225753,2.2230399565076984,6.374016590830941,8.562007343144693,3.4737286935044183,175,71
crop1125,Liver,Rapid HPF,Hepatocyte lateral,8.0,3,3,12324076.963688234,0.002465187334637329,0.0011387862198890383,0.004407940771423156,0.0004687852287834353,-0.004147132736268167,0.005979426328710759,0.004979633464328957,0.0032691545515341177,0.33913334429418523,0.24225502666182772,0.41861162904398685,0.7830195261769826,2.343457238851487,6.363938273722665,10.548457331371194,1.7039815689138085,130,21
crop1126,Liver,Rapid HPF,Hepatocyte lateral,8.0,2,2,26281101.80010713,0.002103544172839066,0.0009405154902000016,0.0037213288123938556,0.00010561902814368936,-0.003927919736762268,0.004508544963542708,0.0042571801411743215,0.002780813322193854,0.27662636978583927,0.24314879239490705,0.48022483781925374,0.6572863977651557,1.993095966443141,5.393847561684214,9.055936916580485,5.707523266752407,238,150
crop1127,Liver,Rapid HPF,Hepatocyte lateral,8.0,8,7,14362420.897258203,0.001999833445805823,0.0008838711956005141,0.0038630276944389666,0.0004501455705358181,-0.0033932961574018204,0.005858257192935531,0.004964723038202045,0.0029791564988384525,0.3076404271817636,0.19233473454596758,0.5000248382722688,0.8071831344191764,2.6371446353750048,7.748494932256439,9.538781865538656,2.3672889301336815,137,34
crop1116,Cortex,Rapid HPF,,8.0,234,208,354933430.1624409,0.0030462675045500754,0.001354858588522247,0.00591129680299362,0.002002159809777697,-0.0028980396459518,0.009969123886983915,0.00698140991757298,0.004556438214471373,0.5002062907833585,0.14491018102081463,0.3548835281958271,1.16344421711466,3.840550063894197,11.609876825563555,13.08977854769466,2.2060474823170293,4646,783
crop1033,Cortex,Chemical,,2.0,22,17,6465134.505579656,0.0032019485245921193,0.0015559462536317767,0.005339516909448007,0.0015325238343179975,-0.004654154065123977,0.00674041564639021,0.005041610355777836,0.0037835706558162303,0.45497739129244863,0.22446514450780655,0.32055746419974435,0.8985978041386932,3.407033961829558,6.842417548833199,35.420763450839935,2.3201373439414805,229,15
crop1034,Cortex,Chemical,,2.0,24,20,4523141.379311062,0.002851800976242118,0.0013414943678654188,0.004928267775114576,0.0018693772806860796,-0.003093516713401339,0.006736912220879168,0.004510811122706214,0.003586773407249157,0.485192796866476,0.1508191540470176,0.36398804908650695,0.8678753919468153,3.2962847111495575,6.688304033454787,37.584498414660075,0.6632558543763543,170,3
