crop,tissue,prep,region_group,voxel_nm,n_boundary_faces,gap_min_nm,gap_mean_nm,gap_std_nm,percentiles_nm_p10,percentiles_nm_p25,percentiles_nm_p50,percentiles_nm_p75,percentiles_nm_p90,contact_fractions_p20,contact_fractions_p40,contact_fractions_p80,contact_fractions_p160,contact_fractions_p320,native_voxel_nm,analysis_voxel_nm
crop1033,Cortex,Chemical,,2.0,2340355,6.0,10.735768374174192,7.196260651439228,6.0,6.0,6.82842712474619,13.313708498984761,21.17879049077957,0.8831527695584644,0.994221389490056,1.0,1.0,1.0,2.0,2.0
crop1035,Cortex,Chemical,,2.0,1147732,8.928203230275509,16.101317238688615,9.393537278608395,9.936237570137333,10.47213595499958,12.12899020449196,16.69441732447586,27.41640786499874,0.8119107945060345,0.9647269571642161,0.9995669720805902,1.0,1.0,2.0,2.0
crop1031,Kidney,Chemical,PCT lateral,4.0,588685,12.0,22.94457300845867,10.055839415128574,12.0,12.0,20.94427190999916,28.58020766040636,38.380966322468964,0.41495196921953165,0.917252860188386,1.0,1.0,1.0,4.0,4.0
crop1037,Cortex,Chemical,,2.0,1539795,6.82842712474619,158.30011344122428,202.34697517482343,14.32455532033676,26.4681522645563,57.35223072410328,260.1932957888006,463.71847188853144,0.17684432018547924,0.3420202039881932,0.6658334388668622,0.6916180400637747,0.7934452313457311,2.0,2.0
crop1028,Kidney,Chemical,PCT brush border,8.0,316513,24.0,156.09964648058295,186.06597747350838,24.0,33.17011495953578,54.62741699796952,235.90886444596123,438.96168965029983,0.0,0.35041530679624533,0.5941525308597119,0.6899116308018944,0.8101784128929933,4.0,8.0
crop1029,Kidney,Chemical,PCT brush border,8.0,429425,24.0,290.79736473942927,369.34993532158575,27.31370849898476,37.856406460551014,93.25483399593904,440.73947494630505,837.4540846889734,0.0,0.27795540548407754,0.47931536356756127,0.5731734295860744,0.6869348547476276,4.0,8.0
crop1044,Liver,Chemical,Hepatocyte lateral,8.0,127510,24.0,137.4768880853745,89.16920782879828,39.74495028054933,63.377408526555115,115.79353639438659,197.97872099576585,268.18913635481636,0.0,0.10971688495019999,0.34153399733354245,0.6446866912399027,0.9653987922515881,4.0,8.0
crop1039,Liver,Chemical,Bile canaliculus,8.0,196512,24.0,150.68657933989195,185.73826106905668,24.0,30.627416997969522,54.62741699796952,203.61014579826522,439.5510202598659,0.0,0.39824031102426316,0.5839643380556913,0.7047101449275363,0.8386205422569614,4.0,8.0
crop1031,Kidney,Chemical,PCT lateral,8.0,110091,24.0,31.78882962044096,8.363589898414459,24.0,24.0,29.856406460551018,37.856406460551014,43.77708763999664,0.0,0.7967681281848652,1.0,1.0,1.0,4.0,8.0
crop1042,Liver,Chemical,Bile canaliculus,8.0,190048,24.0,91.40857293680078,67.2053880036463,33.17011495953578,43.59591794226542,57.29822128134704,131.3907384742605,197.3133456767161,0.0,0.20029150530392323,0.6084831200538812,0.8240181427849806,0.9990739181680418,4.0,8.0
crop1041,Liver,Chemical,Space of Disse,8.0,186609,24.0,101.6388963459376,66.56853230825435,39.74495028054933,56.0,84.66060555964671,127.18642930896227,188.662310815379,0.0,0.1081887797480293,0.46585641635719605,0.8448252763800246,0.9891752273470197,4.0,8.0
crop1040,Liver,Chemical,Bile canaliculus,8.0,181147,24.0,102.85074173996468,90.70506062373195,24.0,32.0,58.5329983228432,158.79086241436883,245.8473589012499,0.0,0.3517529961854185,0.5793250785273838,0.7527367276300463,0.9773388463513059,4.0,8.0
