tissue,dataset,crop,prep,cell_id,voxels_8nm,volume_nm3,volume_um3,ecs_faces,total_faces,ecs_sa_nm2,total_sa_nm2,sa_v_ratio,sphericity
Liver,jrc_mus-liver,crop1042,Chemical,2,22110,11320320.0,0.0113,8966,9306,573824.0,595584.0,0.05068973,0.4249
Liver,jrc_mus-liver,crop1042,Chemical,3,7115,3642880.0,0.0036,2969,3270,190016.0,209280.0,0.05216093,0.6025
Liver,jrc_mus-liver,crop1042,Chemical,4,25210,12907520.0,0.0129,6211,7114,397504.0,455296.0,0.03079631,0.6694
Liver,jrc_mus-liver,crop1042,Chemical,5,9946,5092352.0,0.0051,3927,4434,251328.0,283776.0,0.04935401,0.5695
Liver,jrc_mus-liver,crop1042,Chemical,6,2432,1245184.0,0.0012,1084,1588,69376.0,101632.0,0.05571546,0.8068
Liver,jrc_mus-liver,crop1042,Chemical,7,14081,7209472.0,0.0072,5555,6100,355520.0,390400.0,0.0493129,0.5076
Liver,jrc_mus-liver,crop1042,Chemical,8,4190,2145280.0,0.0021,2450,2504,156800.0,160256.0,0.07309069,0.513
Liver,jrc_mus-liver,crop1042,Chemical,9,998,510976.0,0.0005,670,834,42880.0,53376.0,0.08391784,0.7208
Liver,jrc_mus-liver,crop1042,Chemical,10,24189,12384768.0,0.0124,4589,6720,293696.0,430080.0,0.02371429,0.8814
Liver,jrc_mus-liver,crop1042,Chemical,11,1843,943616.0,0.0009,725,1112,46400.0,71168.0,0.04917254,1.0027
Liver,jrc_mus-liver,crop1042,Chemical,12,1555103,796212736.0,0.7962,182178,252986,11659392.0,16191104.0,0.01464356,0.3563
Liver,jrc_mus-liver,crop1042,Chemical,13,12733,6519296.0,0.0065,5284,5284,338176.0,338176.0,0.05187309,0.499
Liver,jrc_mus-liver,crop1042,Chemical,14,26460,13547520.0,0.0135,7018,7234,449152.0,462976.0,0.03315382,0.6119
