tissue,dataset,crop,prep,threshold_nm,contact_voxels,total_boundary_voxels,contact_fraction
Liver,jrc_mus-liver-8,crop1073,Rapid HPF,20,527391,527391,1.0
Liver,jrc_mus-liver-8,crop1073,Rapid HPF,40,527391,527391,1.0
Liver,jrc_mus-liver-8,crop1073,Rapid HPF,80,527391,527391,1.0
Liver,jrc_mus-liver-8,crop1073,Rapid HPF,160,527391,527391,1.0
Liver,jrc_mus-liver-8,crop1074,Rapid HPF,10,0,374664,0.0
Liver,jrc_mus-liver-8,crop1074,Rapid HPF,20,374664,374664,1.0
Liver,jrc_mus-liver-8,crop1074,Rapid HPF,40,374664,374664,1.0
Liver,jrc_mus-liver-8,crop1074,Rapid HPF,80,374664,374664,1.0
Liver,jrc_mus-liver-8,crop1074,Rapid HPF,160,374664,374664,1.0
Liver,jrc_mus-liver-8,crop1075,Rapid HPF,10,0,304348,0.0
Liver,jrc_mus-liver-8,crop1075,Rapid HPF,20,304348,304348,1.0
Liver,jrc_mus-liver-8,crop1075,Rapid HPF,40,304348,304348,1.0
Liver,jrc_mus-liver-8,crop1075,Rapid HPF,80,304348,304348,1.0
Liver,jrc_mus-liver-8,crop1075,Rapid HPF,160,304348,304348,1.0
Cortex,jrc_mus-cortex-2,crop1116,Rapid HPF,10,0,5180731,0.0
Cortex,jrc_mus-cortex-2,crop1116,Rapid HPF,20,5180731,5180731,1.0
Cortex,jrc_mus-cortex-2,crop1116,Rapid HPF,40,5180731,5180731,1.0
Cortex,jrc_mus-cortex-2,crop1116,Rapid HPF,80,5180731,5180731,1.0
Cortex,jrc_mus-cortex-2,crop1116,Rapid HPF,160,5180731,5180731,1.0
Cortex,jrc_mus-cortex-3,crop1033,Chemical,10,2365779,2365779,1.0
Cortex,jrc_mus-cortex-3,crop1033,Chemical,20,2365779,2365779,1.0
Cortex,jrc_mus-cortex-3,crop1033,Chemical,40,2365779,2365779,1.0
Cortex,jrc_mus-cortex-3,crop1033,Chemical,80,2365779,2365779,1.0
Cortex,jrc_mus-cortex-3,crop1033,Chemical,160,2365779,2365779,1.0
Cortex,jrc_mus-cortex-3,crop1034,Chemical,10,1645877,1645877,1.0
Cortex,jrc_mus-cortex-3,crop1034,Chemical,20,1645877,1645877,1.0
Cortex,jrc_mus-cortex-3,crop1034,Chemical,40,1645877,1645877,1.0
Cortex,jrc_mus-cortex-3,crop1034,Chemical,80,1645877,1645877,1.0
Cortex,jrc_mus-cortex-3,crop1034,Chemical,160,1645877,1645877,1.0
Cortex,jrc_mus-cortex-3,crop1035,Chemical,10,1286780,1286780,1.0
Cortex,jrc_mus-cortex-3,crop1035,Chemical,20,1286780,1286780,1.0
Cortex,jrc_mus-cortex-3,crop1035,Chemical,40,1286780,1286780,1.0
Cortex,jrc_mus-cortex-3,crop1035,Chemical,80,1286780,1286780,1.0
Cortex,jrc_mus-cortex-3,crop1035,Chemical,160,1286780,1286780,1.0
Cortex,jrc_mus-cortex-3,crop1036,Chemical,10,1118153,1118153,1.0
Cortex,jrc_mus-cortex-3,crop1036,Chemical,20,1118153,1118153,1.0
Cortex,jrc_mus-cortex-3,crop1036,Chemical,40,1118153,1118153,1.0
Cortex,jrc_mus-cortex-3,crop1036,Chemical,80,1118153,1118153,1.0
Cortex,jrc_mus-cortex-3,crop1036,Chemical,160,1118153,1118153,1.0
Cortex,jrc_mus-cortex-3,crop1037,Chemical,10,1471820,1471820,1.0
Cortex,jrc_mus-cortex-3,crop1037,Chemical,20,1471820,1471820,1.0
Cortex,jrc_mus-cortex-3,crop1037,Chemical,40,1471820,1471820,1.0
Cortex,jrc_mus-cortex-3,crop1037,Chemical,80,1471820,1471820,1.0
Cortex,jrc_mus-cortex-3,crop1037,Chemical,160,1471820,1471820,1.0
Cortex,jrc_mus-cortex-3,crop1045,Chemical,10,2069980,2069980,1.0
Cortex,jrc_mus-cortex-3,crop1045,Chemical,20,2069980,2069980,1.0
Cortex,jrc_mus-cortex-3,crop1045,Chemical,40,2069980,2069980,1.0
Cortex,jrc_mus-cortex-3,crop1045,Chemical,80,2069980,2069980,1.0
Cortex,jrc_mus-cortex-3,crop1045,Chemical,160,2069980,2069980,1.0
Cortex,jrc_mus-cortex-3,crop1046,Chemical,10,1568308,1568308,1.0
Cortex,jrc_mus-cortex-3,crop1046,Chemical,20,1568308,1568308,1.0
Cortex,jrc_mus-cortex-3,crop1046,Chemical,40,1568308,1568308,1.0
